title,Description,Price,Colors,Image Urls,Link
dresses,Sanganeri Block Print Mauve Yoked Dress,"₹5,850",,"cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-tiered-peasant-midi-dress-peasant-dress-809141_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-tiered-peasant-midi-dress-peasant-dress-131338_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-tiered-peasant-midi-dress-peasant-dress-475466_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-tiered-peasant-midi-dress-peasant-dress-451546_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-tiered-peasant-midi-dress-peasant-dress-487501_1600x.jpg",
dresses,Khaki Green Handspun Cotton Deep Neck Shift Dress,"₹5,870","Light Yellow,Khakhi Green,Red,Powder Blue,Rust","cdn.shopify.com/s/files/1/0534/2501/2925/products/khadi-green-handspun-cotton-deep-neck-shift-dress-paneled-dress-407124_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/khadi-green-handspun-cotton-deep-neck-shift-dress-paneled-dress-186438_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/khadi-green-handspun-cotton-deep-neck-shift-dress-paneled-dress-129269_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/khadi-green-handspun-cotton-deep-neck-shift-dress-paneled-dress-380528_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/khadi-green-handspun-cotton-deep-neck-shift-dress-paneled-dress-826106_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/khadi-green-handspun-cotton-deep-neck-shift-dress-paneled-dress-284716_1600x.jpg",
dresses,Midnight Blue Cotton Flax Strappy Slit Dress,"₹2,550","Brown,Black,Navy Blue,Olive Green,White,Pink,Light Khakhi,Peach,Beige,Yellow","cdn.shopify.com/s/files/1/0534/2501/2925/products/midnight-blue-cotton-flax-strappy-slit-dress-a-line-dress-520605_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/midnight-blue-cotton-flax-strappy-slit-dress-a-line-dress-321046_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/midnight-blue-cotton-flax-strappy-slit-dress-a-line-dress-697803_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/midnight-blue-cotton-flax-strappy-slit-dress-a-line-dress-893909_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/midnight-blue-cotton-flax-strappy-slit-dress-a-line-dress-476117_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/midnight-blue-cotton-flax-strappy-slit-dress-a-line-dress-142670_1600x.jpg",
dresses,Black Cotton Flax V-Neck Tunic,"₹2,770","Yellow,Olive Green,Black,Brown,Navy Blue,White,Peach,Light Khakhi,Pink","cdn.shopify.com/s/files/1/0534/2501/2925/products/black-cotton-flax-v-neck-tunic-shift-dress-737629_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/black-cotton-flax-v-neck-tunic-shift-dress-2716007_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/black-cotton-flax-v-neck-tunic-shift-dress-617149_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/black-cotton-flax-v-neck-tunic-shift-dress-987651_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/black-cotton-flax-v-neck-tunic-shift-dress-457106_1600x.jpg",
dresses,Block Printed Cotton Flared Dress,"₹4,830",,"cdn.shopify.com/s/files/1/0534/2501/2925/products/block-printed-cotton-flared-dress-wrap-dress-619407_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/block-printed-cotton-flared-dress-wrap-dress-214917_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/block-printed-cotton-flared-dress-wrap-dress-887999_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/block-printed-cotton-flared-dress-wrap-dress-809247_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/block-printed-cotton-flared-dress-wrap-dress-555935_1600x.jpg",
dresses,Cotton Corduroy Dusk Beige Button-Down Dress,"₹4,620","Mauve,Dusk Beige,Sage Green","cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-corduroy-dusk-beige-button-down-dress-button-down-dress-104731_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-corduroy-dusk-beige-button-down-dress-button-down-dress-675423_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-corduroy-dusk-beige-button-down-dress-button-down-dress-376595_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-corduroy-dusk-beige-button-down-dress-button-down-dress-461263_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-corduroy-dusk-beige-button-down-dress-button-down-dress-731475_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-corduroy-dusk-beige-button-down-dress-button-down-dress-203029_1600x.jpg",
dresses,Cotton Sage Green Gathered Yoke Dress,"₹2,660","Light Yellow,Beige,Red,Lemon Yellow,Sage Green,Aqua,Light Maroon","cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-sage-green-gathered-yoke-dress-yoked-dress-827296_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-sage-green-gathered-yoke-dress-yoked-dress-444896_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-sage-green-gathered-yoke-dress-yoked-dress-476208_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-sage-green-gathered-yoke-dress-yoked-dress-664069_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-sage-green-gathered-yoke-dress-yoked-dress-483109_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-sage-green-gathered-yoke-dress-yoked-dress-232710_1600x.jpg",
dresses,Aqua Yarn-Dyed 100% Cotton Tier Dress,"₹3,390","Maroon,Beige,Lemon Yellow,Grey,Yellow & White,Green,Pink,Aqua","cdn.shopify.com/s/files/1/0534/2501/2925/products/aqua-yarn-dyed-100-cotton-tier-dress-tier-dress-682193_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/aqua-yarn-dyed-100-cotton-tier-dress-tier-dress-554440_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/aqua-yarn-dyed-100-cotton-tier-dress-tier-dress-605812_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/aqua-yarn-dyed-100-cotton-tier-dress-tier-dress-693636_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/aqua-yarn-dyed-100-cotton-tier-dress-tier-dress-487980_1600x.jpg",
dresses,Yellow Tie and Dye Strap Tiered Dress,"₹5,680",,"cdn.shopify.com/s/files/1/0534/2501/2925/products/light-yellow-tie-and-dye-tier-dress-tier-dress-575027_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/light-yellow-tie-and-dye-tier-dress-tier-dress-139901_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/light-yellow-tie-and-dye-tier-dress-tier-dress-897024_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/light-yellow-tie-and-dye-tier-dress-tier-dress-115416_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/light-yellow-tie-and-dye-tier-dress-tier-dress-304839_1600x.jpg",
dresses,Hand-Embroidered Shift V-Neck Dress,"₹4,830",,"cdn.shopify.com/s/files/1/0534/2501/2925/products/hand-embroidered-v-neck-shift-dress-shift-dress-550347_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/hand-embroidered-v-neck-shift-dress-shift-dress-558747_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/hand-embroidered-v-neck-shift-dress-shift-dress-300726_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/hand-embroidered-v-neck-shift-dress-shift-dress-406664_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/hand-embroidered-v-neck-shift-dress-shift-dress-358848_1600x.jpg",
dresses,Frosted White Cotton Flax Strappy Slit Dress,"₹2,580","Brown,Black,Navy Blue,Olive Green,White,Pink,Light Khakhi,Peach,Beige,Yellow","cdn.shopify.com/s/files/1/0534/2501/2925/products/frosted-white-cotton-flax-strappy-slit-dress-a-line-dress-789919_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/frosted-white-cotton-flax-strappy-slit-dress-a-line-dress-461632_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/frosted-white-cotton-flax-strappy-slit-dress-a-line-dress-858037_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/frosted-white-cotton-flax-strappy-slit-dress-a-line-dress-545617_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/frosted-white-cotton-flax-strappy-slit-dress-a-line-dress-115762_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/frosted-white-cotton-flax-strappy-slit-dress-a-line-dress-545078_1600x.jpg",
dresses,Peach Cotton Flax Pinafore Midi Wrap Dress,"₹4,710","Beige,Navy Blue,Black,Yellow,Pink,Light Khakhi,Peach,Olive Green,Brown","cdn.shopify.com/s/files/1/0534/2501/2925/products/peach-cotton-flax-pinafore-midi-wrap-dress-pinafore-dress-838526_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/peach-cotton-flax-pinafore-midi-wrap-dress-pinafore-dress-700597_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/peach-cotton-flax-pinafore-midi-wrap-dress-pinafore-dress-243814_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/peach-cotton-flax-pinafore-midi-wrap-dress-pinafore-dress-956466_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/peach-cotton-flax-pinafore-midi-wrap-dress-pinafore-dress-436925_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/peach-cotton-flax-pinafore-midi-wrap-dress-pinafore-dress-937628_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/peach-cotton-flax-pinafore-midi-wrap-dress-pinafore-dress-138156_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/peach-cotton-flax-pinafore-midi-wrap-dress-pinafore-dress-626100_1600x.jpg",
dresses,Black Cotton Flax Kangaroo Pocket Dress,"₹3,440","Yellow,Beige,Olive Green,Black,Navy Blue,White,Peach,Light Khakhi,Pink,Brown","cdn.shopify.com/s/files/1/0534/2501/2925/products/black-cotton-flax-kangaroo-pocket-dress-a-line-dress-170725_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/black-cotton-flax-kangaroo-pocket-dress-a-line-dress-733223_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/black-cotton-flax-kangaroo-pocket-dress-a-line-dress-537054_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/black-cotton-flax-kangaroo-pocket-dress-a-line-dress-797464_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/black-cotton-flax-kangaroo-pocket-dress-a-line-dress-672297_1600x.jpg",
dresses,Pink Paisley Floor-Length Tier Dress,"₹5,410",,"cdn.shopify.com/s/files/1/0534/2501/2925/products/pink-paisley-floor-length-dress-tier-dress-784543_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/pink-paisley-floor-length-dress-tier-dress-617135_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/pink-paisley-floor-length-dress-tier-dress-452027_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/pink-paisley-floor-length-dress-tier-dress-167425_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/pink-paisley-floor-length-dress-tier-dress-978642_1600x.jpg",
dresses,Dusk Beige Cotton Corduroy V-Neck Dress,"₹5,290","Barn Red (Waffle),Navy Blue (Waffle),Olive Green (Waffle),Sage Green,Mauve,Dusk Beige","cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-v-neck-dress-paneled-dress-667336_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-v-neck-dress-paneled-dress-871393_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-v-neck-dress-paneled-dress-649099_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-v-neck-dress-paneled-dress-196309_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-v-neck-dress-paneled-dress-583384_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-v-neck-dress-paneled-dress-141092_1600x.jpg",
dresses,Khaki Sage Cotton Flax Strappy Slit Dress,"₹2,550","Brown,Black,Navy Blue,Olive Green,White,Pink,Light Khakhi,Peach,Beige,Yellow","cdn.shopify.com/s/files/1/0534/2501/2925/products/khaki-sage-cotton-flax-strappy-slit-dress-a-line-dress-266156_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/khaki-sage-cotton-flax-strappy-slit-dress-a-line-dress-536385_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/khaki-sage-cotton-flax-strappy-slit-dress-a-line-dress-388056_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/khaki-sage-cotton-flax-strappy-slit-dress-a-line-dress-906862_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/khaki-sage-cotton-flax-strappy-slit-dress-a-line-dress-226783_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/khaki-sage-cotton-flax-strappy-slit-dress-a-line-dress-993858_1600x.jpg",
dresses,Handspun Light Yellow Gathered Dress,"₹6,060",,"cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-light-yellow-gathered-dress-yoked-dress-599774_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-light-yellow-gathered-dress-yoked-dress-496617_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-light-yellow-gathered-dress-yoked-dress-123429_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-light-yellow-gathered-dress-yoked-dress-499992_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-light-yellow-gathered-dress-yoked-dress-121296_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-light-yellow-gathered-dress-yoked-dress-617424_1600x.jpg",
dresses,Teal Deep Neck Bohemian Frilled Dress,"₹4,630","Beige,Olive Green,Teal,White,Light Maroon (Yarn-Dyed),Ash Grey (Cotton Flannel),Indigo Polka Dot (Block Print),Pink & Red","cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-deep-neck-bohemian-frilled-dress-bohemian-dress-746464_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-deep-neck-bohemian-frilled-dress-bohemian-dress-834002_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-deep-neck-bohemian-frilled-dress-bohemian-dress-923045_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-deep-neck-bohemian-frilled-dress-bohemian-dress-453809_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-deep-neck-bohemian-frilled-dress-bohemian-dress-960008_1600x.jpg",
dresses,Lilac Handspun 100% Cotton Knee Length Dress,"₹3,120","Lilac (Yarn-Dyed),Beige,Indigo,Indigo","cdn.shopify.com/s/files/1/0534/2501/2925/products/PRA_0189_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/PRA_0188_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/PRA_0192_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/PRA_0187_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/PRA_0195_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/PRA_0183_1600x.jpg",
dresses,Hand Embroidered Cotton White Slit Dress,"₹3,870",,"cdn.shopify.com/s/files/1/0534/2501/2925/products/hand-embroidered-white-slit-dress-slit-dress-450792_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/hand-embroidered-white-slit-dress-slit-dress-243690_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/hand-embroidered-white-slit-dress-slit-dress-117952_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/hand-embroidered-white-slit-dress-slit-dress-917007_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/hand-embroidered-white-slit-dress-slit-dress-702950_1600x.jpg",
dresses,Mauve Cotton Corduroy Square Neck Dress,"₹4,470","Beige,Mauve,Sage Green","cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-square-neck-dress-shift-dress-7160047_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-square-neck-dress-shift-dress-836322_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-square-neck-dress-shift-dress-478512_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-square-neck-dress-shift-dress-628622_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-square-neck-dress-shift-dress-568489_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-square-neck-dress-shift-dress-142593_1600x.jpg",
dresses,Green Cotton Flax Shirt Dress,"₹3,970","Green,Yellow,Brown,Black,Beige,White,Peach,Light Khakhi,Pink","cdn.shopify.com/s/files/1/0534/2501/2925/products/green-cotton-flax-shirt-dress-shirt-dress-dress-918226_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/green-cotton-flax-shirt-dress-shirt-dress-dress-356220_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/green-cotton-flax-shirt-dress-shirt-dress-dress-707832_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/green-cotton-flax-shirt-dress-shirt-dress-dress-710921_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/green-cotton-flax-shirt-dress-shirt-dress-dress-325788_1600x.jpg",
dresses,Light Khaki Cotton Flax V-Neck Tunic,"₹2,770","Yellow,Olive Green,Black,Brown,Navy Blue,White,Peach,Light Khakhi,Pink","cdn.shopify.com/s/files/1/0534/2501/2925/products/light-khaki-cotton-flax-v-neck-tunic-shift-dress-875052_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/light-khaki-cotton-flax-v-neck-tunic-shift-dress-884809_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/light-khaki-cotton-flax-v-neck-tunic-shift-dress-478457_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/light-khaki-cotton-flax-v-neck-tunic-shift-dress-869849_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/light-khaki-cotton-flax-v-neck-tunic-shift-dress-644869_1600x.jpg",
dresses,White Cotton Flax Strap Sleeve A-Line Dress,"₹2,580","Yellow,Navy Blue,Black,Brown,Olive Green,White,Light Khakhi,Peach,Pink,Beige","cdn.shopify.com/s/files/1/0534/2501/2925/products/white-cotton-flax-strap-sleeve-a-line-dress-a-line-dress-785517_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/white-cotton-flax-strap-sleeve-a-line-dress-a-line-dress-732148_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/white-cotton-flax-strap-sleeve-a-line-dress-a-line-dress-185704_1600x.jpg,cdn.shopify.com/s/files/1/0534/2501/2925/products/white-cotton-flax-strap-sleeve-a-line-dress-a-line-dress-289387_1600x.jpg",
